nohup: ignoring input
Namespace(backbone='resnet50', ft_type='attn', epochs=200, batch_size=32, num_classes=100, warm=1, base=False, lr=0.1, device='cuda:2', num_workers=8, hid_dim=4, n_heads_list=[1])
Files already downloaded and verified
Files already downloaded and verified
Training Epoch: 1 [160/50000]	Loss: 7.8108	LR: 0.000000
Training Epoch: 1 [192/50000]	Loss: 8.9419	LR: 0.000064
Training Epoch: 1 [224/50000]	Loss: 9.3566	LR: 0.000128
Training Epoch: 1 [256/50000]	Loss: 10.3184	LR: 0.000192
Training Epoch: 1 [288/50000]	Loss: 6.8550	LR: 0.000256
Training Epoch: 1 [320/50000]	Loss: 6.7781	LR: 0.000320
Training Epoch: 1 [352/50000]	Loss: 10.7884	LR: 0.000384
Training Epoch: 1 [384/50000]	Loss: 6.8444	LR: 0.000448
Training Epoch: 1 [416/50000]	Loss: 7.1628	LR: 0.000512
Training Epoch: 1 [448/50000]	Loss: 6.3528	LR: 0.000576
Training Epoch: 1 [480/50000]	Loss: 5.1101	LR: 0.000640
Training Epoch: 1 [512/50000]	Loss: 5.7599	LR: 0.000704
Training Epoch: 1 [544/50000]	Loss: 5.7827	LR: 0.000768
Training Epoch: 1 [576/50000]	Loss: 10.1627	LR: 0.000832
Training Epoch: 1 [608/50000]	Loss: 5.1946	LR: 0.000896
Training Epoch: 1 [640/50000]	Loss: 10.4483	LR: 0.000960
Training Epoch: 1 [672/50000]	Loss: 7.7842	LR: 0.001024
Training Epoch: 1 [704/50000]	Loss: 4.7166	LR: 0.001088
Training Epoch: 1 [736/50000]	Loss: 7.8645	LR: 0.001152
Training Epoch: 1 [768/50000]	Loss: 6.6843	LR: 0.001216
Training Epoch: 1 [800/50000]	Loss: 9.3340	LR: 0.001280
Training Epoch: 1 [832/50000]	Loss: 4.7171	LR: 0.001344
Training Epoch: 1 [864/50000]	Loss: 4.9948	LR: 0.001408
Training Epoch: 1 [896/50000]	Loss: 5.0371	LR: 0.001472
Training Epoch: 1 [928/50000]	Loss: 14.9361	LR: 0.001536
Training Epoch: 1 [960/50000]	Loss: 6.6248	LR: 0.001599
Training Epoch: 1 [992/50000]	Loss: 8.6136	LR: 0.001663
Training Epoch: 1 [1024/50000]	Loss: 24.1612	LR: 0.001727
Training Epoch: 1 [1056/50000]	Loss: 4.9546	LR: 0.001791
Training Epoch: 1 [1088/50000]	Loss: 5.7087	LR: 0.001855
Training Epoch: 1 [1120/50000]	Loss: 4.9055	LR: 0.001919
Training Epoch: 1 [1152/50000]	Loss: 10.9210	LR: 0.001983
Training Epoch: 1 [1184/50000]	Loss: 5.0428	LR: 0.002047
Training Epoch: 1 [1216/50000]	Loss: 4.6579	LR: 0.002111
Training Epoch: 1 [1248/50000]	Loss: 6.8241	LR: 0.002175
Training Epoch: 1 [1280/50000]	Loss: 13.2258	LR: 0.002239
Training Epoch: 1 [1312/50000]	Loss: 4.9649	LR: 0.002303
Training Epoch: 1 [1344/50000]	Loss: 5.0630	LR: 0.002367
Training Epoch: 1 [1376/50000]	Loss: 4.6473	LR: 0.002431
Training Epoch: 1 [1408/50000]	Loss: 4.7834	LR: 0.002495
Training Epoch: 1 [1440/50000]	Loss: 4.5962	LR: 0.002559
Training Epoch: 1 [1472/50000]	Loss: 18.8229	LR: 0.002623
Training Epoch: 1 [1504/50000]	Loss: 14.8178	LR: 0.002687
Training Epoch: 1 [1536/50000]	Loss: 5.0144	LR: 0.002751
Training Epoch: 1 [1568/50000]	Loss: 7.4515	LR: 0.002815
Training Epoch: 1 [1600/50000]	Loss: 24.3951	LR: 0.002879
Training Epoch: 1 [1632/50000]	Loss: 6.2714	LR: 0.002943
Training Epoch: 1 [1664/50000]	Loss: 7.7945	LR: 0.003007
Training Epoch: 1 [1696/50000]	Loss: 11.5058	LR: 0.003071
Training Epoch: 1 [1728/50000]	Loss: 4.8630	LR: 0.003135
Training Epoch: 1 [1760/50000]	Loss: 4.8952	LR: 0.003199
Training Epoch: 1 [1792/50000]	Loss: 25.8120	LR: 0.003263
Training Epoch: 1 [1824/50000]	Loss: 19.0851	LR: 0.003327
Training Epoch: 1 [1856/50000]	Loss: 4.9073	LR: 0.003391
Training Epoch: 1 [1888/50000]	Loss: 20.6130	LR: 0.003455
Training Epoch: 1 [1920/50000]	Loss: 5.1265	LR: 0.003519
Training Epoch: 1 [1952/50000]	Loss: 5.9775	LR: 0.003583
Training Epoch: 1 [1984/50000]	Loss: 5.6386	LR: 0.003647
