nohup: ignoring input
Namespace(backbone='resnet50', ft_type='ws', epochs=200, batch_size=32, num_classes=100, warm=1, base=False, lr=0.1, device='cuda:1', num_workers=8, hid_dim=4, n_heads_list=[1])
Files already downloaded and verified
Files already downloaded and verified
Training Epoch: 1 [160/50000]	Loss: 5.6452	LR: 0.000000
Training Epoch: 1 [192/50000]	Loss: 5.9582	LR: 0.000064
Training Epoch: 1 [224/50000]	Loss: 5.0526	LR: 0.000128
Training Epoch: 1 [256/50000]	Loss: 5.3073	LR: 0.000192
Training Epoch: 1 [288/50000]	Loss: 5.1677	LR: 0.000256
Training Epoch: 1 [320/50000]	Loss: 5.0250	LR: 0.000320
Training Epoch: 1 [352/50000]	Loss: 5.2274	LR: 0.000384
Training Epoch: 1 [384/50000]	Loss: 5.1722	LR: 0.000448
Training Epoch: 1 [416/50000]	Loss: 4.9248	LR: 0.000512
Training Epoch: 1 [448/50000]	Loss: 4.9476	LR: 0.000576
Training Epoch: 1 [480/50000]	Loss: 4.9449	LR: 0.000640
Training Epoch: 1 [512/50000]	Loss: 4.7265	LR: 0.000704
Training Epoch: 1 [544/50000]	Loss: 5.4949	LR: 0.000768
Training Epoch: 1 [576/50000]	Loss: 5.2451	LR: 0.000832
Training Epoch: 1 [608/50000]	Loss: 4.9578	LR: 0.000896
Training Epoch: 1 [640/50000]	Loss: 5.4171	LR: 0.000960
Training Epoch: 1 [672/50000]	Loss: 5.2847	LR: 0.001024
Training Epoch: 1 [704/50000]	Loss: 5.4706	LR: 0.001088
Training Epoch: 1 [736/50000]	Loss: 5.1631	LR: 0.001152
Training Epoch: 1 [768/50000]	Loss: 6.1675	LR: 0.001216
Training Epoch: 1 [800/50000]	Loss: 5.5264	LR: 0.001280
Training Epoch: 1 [832/50000]	Loss: 5.6428	LR: 0.001344
Training Epoch: 1 [864/50000]	Loss: 5.3937	LR: 0.001408
Training Epoch: 1 [896/50000]	Loss: 5.4584	LR: 0.001472
Training Epoch: 1 [928/50000]	Loss: 5.0268	LR: 0.001536
Training Epoch: 1 [960/50000]	Loss: 5.0032	LR: 0.001599
Training Epoch: 1 [992/50000]	Loss: 5.4739	LR: 0.001663
Training Epoch: 1 [1024/50000]	Loss: 5.0466	LR: 0.001727
Training Epoch: 1 [1056/50000]	Loss: 5.1456	LR: 0.001791
Training Epoch: 1 [1088/50000]	Loss: 4.7628	LR: 0.001855
Training Epoch: 1 [1120/50000]	Loss: 5.0699	LR: 0.001919
Training Epoch: 1 [1152/50000]	Loss: 5.1716	LR: 0.001983
Training Epoch: 1 [1184/50000]	Loss: 5.0969	LR: 0.002047
Training Epoch: 1 [1216/50000]	Loss: 4.4305	LR: 0.002111
Training Epoch: 1 [1248/50000]	Loss: 5.2515	LR: 0.002175
Training Epoch: 1 [1280/50000]	Loss: 4.8593	LR: 0.002239
Training Epoch: 1 [1312/50000]	Loss: 5.2086	LR: 0.002303
Training Epoch: 1 [1344/50000]	Loss: 5.1070	LR: 0.002367
Training Epoch: 1 [1376/50000]	Loss: 5.0128	LR: 0.002431
Training Epoch: 1 [1408/50000]	Loss: 4.5403	LR: 0.002495
Training Epoch: 1 [1440/50000]	Loss: 4.6506	LR: 0.002559
Training Epoch: 1 [1472/50000]	Loss: 4.7161	LR: 0.002623
Training Epoch: 1 [1504/50000]	Loss: 4.9057	LR: 0.002687
Training Epoch: 1 [1536/50000]	Loss: 4.7274	LR: 0.002751
Training Epoch: 1 [1568/50000]	Loss: 4.6088	LR: 0.002815
Training Epoch: 1 [1600/50000]	Loss: 4.6557	LR: 0.002879
Training Epoch: 1 [1632/50000]	Loss: 4.6110	LR: 0.002943
Training Epoch: 1 [1664/50000]	Loss: 4.6042	LR: 0.003007
Training Epoch: 1 [1696/50000]	Loss: 5.1232	LR: 0.003071
Training Epoch: 1 [1728/50000]	Loss: 4.6906	LR: 0.003135
Training Epoch: 1 [1760/50000]	Loss: 4.6631	LR: 0.003199
Training Epoch: 1 [1792/50000]	Loss: 4.5607	LR: 0.003263
Training Epoch: 1 [1824/50000]	Loss: 4.6989	LR: 0.003327
Training Epoch: 1 [1856/50000]	Loss: 4.5336	LR: 0.003391
Training Epoch: 1 [1888/50000]	Loss: 4.4584	LR: 0.003455
Training Epoch: 1 [1920/50000]	Loss: 4.6332	LR: 0.003519
Training Epoch: 1 [1952/50000]	Loss: 4.9239	LR: 0.003583
Training Epoch: 1 [1984/50000]	Loss: 5.0750	LR: 0.003647
